station_id	avg_bikes_avail	avg_docks_avail	time_per_hour
2	2	25	2013-08-29 12:00:00.000000
2	3	24	2013-08-29 13:00:00.000000
2	2	25	2013-08-29 14:00:00.000000
2	2	25	2013-08-29 15:00:00.000000
2	2	25	2013-08-29 16:00:00.000000
2	3	24	2013-08-29 17:00:00.000000
2	3	24	2013-08-29 18:00:00.000000
2	3	24	2013-08-29 19:00:00.000000
2	2	25	2013-08-29 20:00:00.000000
2	1	26	2013-08-29 21:00:00.000000
2	2	25	2013-08-29 22:00:00.000000
2	3	24	2013-08-29 23:00:00.000000
2	3	24	2013-08-30 00:00:00.000000
2	3	24	2013-08-30 01:00:00.000000
2	3	24	2013-08-30 02:00:00.000000
2	3	24	2013-08-30 03:00:00.000000
2	3	24	2013-08-30 04:00:00.000000
2	3	24	2013-08-30 05:00:00.000000
2	3	24	2013-08-30 06:00:00.000000
2	3	24	2013-08-30 07:00:00.000000
2	2	25	2013-08-30 08:00:00.000000
2	1	26	2013-08-30 09:00:00.000000
2	1	26	2013-08-30 10:00:00.000000
2	2	25	2013-08-30 11:00:00.000000
2	2	25	2013-08-30 12:00:00.000000
2	2	25	2013-08-30 13:00:00.000000
2	3	24	2013-08-30 14:00:00.000000
2	3	24	2013-08-30 15:00:00.000000
2	9	18	2013-08-30 16:00:00.000000
2	11	16	2013-08-30 17:00:00.000000
